Program,Publisher(s),Developer(s),Oct-80,Oct-802,Nov-80,Nov-802,Dec-80,Dec-802,Jan-81,Jan-82,Feb-81,Feb-812,Mar-81,Mar-812,Apr-81,Apr-812,May-81,May-812,Jun-81,Jun-812,Jul-81,Jul-812,Aug-81,Aug-812,Sep-81,Sep-812,Oct-81,Oct-812,Nov-81,Nov-812,Dec-81,Dec-812,Jan-823,Jan-822,Feb-82,Feb-822,Mar-82,Mar-822,Apr-82,Apr-822,May-82,May-822,Jun-82,Jun-822,Jul-82,Jul-822,Aug-82,Aug-822,Sep-82,Sep-822,Oct-82,Oct-822,Nov-82,Nov-822,Dec-82,Dec-822,Jan-83,Jan-832,Feb-83,Feb-832,Mar-83,Mar-832,Apr-83,Apr-832,May-83,May-832,Jun-83,Jun-832,Jul-83,Jul-832,Aug-83,Aug-832,Sep-83,Sep-832,Oct-83,Oct-832,Nov-83,Nov-832,Dec-83,Dec-832,Jan-84,Jan-842,Feb-84,Feb-842,Mar-84,Mar-842,Apr-84,Apr-842,May-84,May-842,Jun-84,Jun-842,Jul-84,Jul-842,Aug-84,Aug-842
Early Games for Young Children,Early Game Company,John Paulson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.53,23,19.26,26,19.53,22,,,17.89,24,17.94,26,,,19.91,22,,,21.08,24,23.07,22,20.71,27,,,,,28.34,30,,,,,,,,
Easy Writer,Information Unlimited,John Draper,36.25,19,24.6,14,22.62,18,17.7,27,15.67,28,,,,,,,,,,,,,,,,,10.43,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enchanter,Infocom,"Dave Lebling, Marc Blank",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.75,28
Epoch,Sirius Software,Larry Miller,,,,,,,,,,,,,,,,,,,,,,,,,11.68,29,17.11,10,29.02,4,24.6,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ernie's Quiz,Apple Computer,Children's Television Workshop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.05,26,,,,,,,,,18.93,25,13.02,24,,,,,,,,,,,,,,,,,,,,,,,,
Escape from Rungistan,Sirius Software,Bob Blauschild,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.35,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exodus: Ultima III,Origin Systems,uncredited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.16,29,63.24,6,38.88,13,64.47,9,25.36,24,26.77,25,35.08,21,18.69,28,19.53,26,13,30,,
Expediter II,On-Line Systems,"Dennis Goodrow, Stewart Einstein",,,,,,,,,,,,,,,,,,,,,,,76.77,5,11.68,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facemaker,Spinnaker Software,DesignWare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.01,30,,,20.43,21,,,,,15.84,23,,,,,19.16,30,,,,,,,,,,,,,,
Falcons,Picadilly Software,"Eric Varsanyl, Thomas Ball",,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.24,28,,,,,28.77,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FlashCalc,VisiCorp,"Bill Graves, Neried",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.11,18
Flight Simulator,SubLogic,Bruce Artwick,87.5,2,70.74,4,50.01,4,50.88,5,53.42,3,45.63,3,34.66,6,41.54,6,49.05,7,35.83,12,38.52,5,40.95,16,23.85,14,9.05,26,16.32,19,25.9,25,,,38.04,17,,,23.83,27,,,,,,,,,,,,,,,,,,,,,13.71,27,18.01,28,26.71,14,,,11.16,30,,,,,,,,,,,,,,,,,,,,,,,,
Flight Simulator II,SubLogic,Bruce Artwick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.91,10,97.39,2,96.73,2,73.84,6,98.88,1,98.27,2,96.37,2
Frogger,Sierra On-Line,Olaf Lubeck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.64,16,82.29,5,95.14,4,67.17,7,48.2,7,36.68,11,28.47,12,,,18.37,17,,,,,,,,,19.67,29,,,,,,,19.94,27,,,,,,
Galactic Empire,Broderbund Software,Doug Carlston,,,27.68,11,24.11,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galactic Revolution,Broderbund Software,Doug Carlston,,,20.5,21,16.67,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galactic Trader,Broderbund Software,Doug Carlston,,,,,20.24,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gamma Goblins,Sirius Software,"Benny Gno, Tony Gno",,,,,,,,,,,,,,,,,,,,,14.32,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gammon Gambler,Personal Software,uncredited,31.88,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Ledger,State of the Art Inc.,George Shackelford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.56,26,,,14.56,29,18.7,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghost Town: Adventure #9,Adventure International,Scott Adams,,,,,17.26,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Program Line Editor,Beagle Brothers,Neil Konzen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.95,23,,,,,,,,
Gobbler,On-Line Systems,Olaf Lubeck,,,,,,,,,,,,,,,,,,,,,17.53,19,40.38,17,23.36,15,10.62,21,19.27,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gorgon,Sirius Software,Nasir,,,,,,,,,,,,,,,,,,,,,50.12,3,89.29,2,70.08,2,24.19,6,17,17,62.47,4,84.52,5,35.6,18,38.67,13,30.86,18,27.07,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Graphics Magician,Penguin Software,"Chris Jochumson, David Lubar, Mark Pelczarski",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.68,18,,,,,,,,,20.01,24,16.12,28,,,,,,,,,,,,,,,,,,,,,,,,,13.06,28,17.37,25
Graphtrix,Data Transforms,Steve Boker,,,,,,,,,,,,,,,,,,,,,,,,,13.14,24,7.08,29,14.06,23,37.23,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hard Hat Mack,Electronic Arts,"Matthew Alexander, Mike Abbott",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.67,18,31.24,14,14.83,25,,,,,,,22.96,28,,,,,,,,,,,,
Head On,California Pacific,uncredited,43.44,12,20.5,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hellfire Warrior,Automated Simulations,uncredited,,,,,31.26,9,37.97,11,26.35,15,15.37,17,20.28,17,17.47,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hi-Res Adventure #0: Mission: Asteroid,On-Line Systems,"Ken Williams, Roberta Williams",,,,,,,,,,,31.45,6,33.93,8,,,26.43,16,17.32,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hi-Res Adventure #1: Mystery House,On-Line Systems,"Ken Williams, Roberta Williams",56.25,7,29.73,10,19.94,23,,,18.16,24,20.33,11,21.01,14,,,17.92,26,17.62,23,16.3,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hi-Res Adventure #2: The Wizard and the Princess,On-Line Systems,"Ken Williams, Roberta Williams",,,82.53,2,60.43,2,59.36,4,45.58,4,39.96,5,47.56,3,36.67,10,42.88,8,45.69,6,29.13,8,42.65,15,16.06,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hi-Res Adventure #3: Cranston Manor,On-Line Systems,"Harold DeWitz, Ken Williams",,,,,,,,,,,,,,,,,,,,,,,47.2,9,56.94,3,17.11,10,18.82,16,23.63,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hi-Res Adventure #4: Ulysses and the Golden Fleece,On-Line Systems,"Bob Davis, Ken Williams",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.16,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hi-Res Cribbage,On-Line Systems,Warren Schwader,,,,,,,,,,,,,,,14.61,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hi-Res Football,On-Line Systems,"Jay Sullivan, Ken Williams",,,,,,,32.45,14,37.03,7,26.72,7,28.02,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home Accountant,Continental Software,"Bob Schoenburg, Larry Grodin, Steve Pollack",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.28,8,58.91,6,87.51,3,96.49,2,45.24,10,78.78,6,68.8,7,66.52,7,50.54,7,87.04,4,99.17,3,82.59,5,92.53,4,81.86,4,97.38,3,81.13,3,98.65,2,50.7,7,59.43,7,56.31,8,44.31,11,47,10,55.67,10,46.19,5,54.97,10,52.44,10,92.85,3,28.7,14,21.58,13,40.02,10
Home Money Minder,Continental Software,"Bob Schoenburg, Steve Pollack",,,,,,,,,,,,,,,,,,,,,,,,,,,12.79,17,13.15,24,,,39.6,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HomeWord,Sierra On-Line,"Jeff Stephenson, Ken Wiliams",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.36,29,,,44.64,14,28.66,20,25.51,18,14.76,25,22.99,17
Horizon V,Gebelli Software,Nasir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.88,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Search of the Most Amazing Thing,Spinnaker Software,Tom Snyder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.62,28,,,,,,,,,,,,,,,,,,,,,,
Jawbreaker,On-Line Systems,Olaf Lubeck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,23,,,16.39,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julius Erving and Larry Bird Go One-on-One,Electronic Arts,"Eric Hammond, Julius Erving, Larry Bird",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.89,14,48.19,12,24.92,23,50.24,8,30.67,8,38.97,11
Kabul Spy,Sirius Software,Tim Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.52,25,16.96,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knight of Diamonds,Sir-tech,"Andrew Greenberg, Robert Woodhead",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.7,2,88.84,4,62.19,9,56.78,10,34.65,11,21.64,16,21.69,19,29.97,21,29.59,16,,,20.01,24,,,19.43,24,,,14.7,29,,,,,18.37,27,41.42,14,31.24,14,33.17,22,,,,,,,,,,
Legacy of Llylgamyn,Sir-tech,"Andrew Greenberg, Robert Woodhead",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.37,2,62.81,7,68.87,8,30.84,15,41.94,16,30.82,27,33.34,19,19.13,27,,,21.06,19
Lode Runner,Broderbund Software,Doug Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.06,10,72.16,5,86.04,3,47.86,9,76.9,6,97.73,2,71.8,6,68.38,5,56.71,9,48.64,9,23.29,11,29.49,13
Lords of Karma,Avalon Hill,National Microcomputer Associates,,,,,,,,,,,12.77,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magic Window,Artsci,"Bill Depew, Gary Shannon",,,,,,,,,,,,,,,,,,,,,,,,,,,10.03,23,11.11,30,,,40.32,20,,,27.43,20,28.91,20,,,15.48,29,22.91,24,,,,,22.62,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magic Window II,Artsci,Bill Depew,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.52,18,,,,,,,,,,,,,,,,,,
Marauder,On-Line Systems,"Eric Hammond, Rorke Weigandt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.04,12,18.66,30,15.82,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MasterType,Lightning Software,Bruce Zweig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.83,27,31.93,17,19.34,21,24.02,22,24.1,21,42.99,12,23.1,19,17.31,22,18.25,23,33.45,14,31,15,23.69,17,51.36,7,36.28,10,82.71,4,56.51,5,56.98,9,50.24,10,63.67,5,68.79,5,83.63,3,65.29,3,78.2,4,76.89,3,98.77,2,82.14,3,33.51,7,46.34,8
Math Blaster,Davidson and Associates,"Janice Davidson, Richard Eckert",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.25,26,,,,,,
Microwave,Cavalier Computer,"Jay Zimmermann, Jim Nitchals",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.69,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midway Campaign,Avalon Hill,uncredited,,,17.43,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miner 2049er,Micro Fun,"Bill Hogue, Mike Livesay",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.03,8,99.11,3,71.47,6,76.04,4,61.22,5,65.27,8,44.65,8,35.53,13,27.31,13,20.22,25,,,22.78,25,28.04,19,36.25,20,,,23.99,24,,,,,,
Missile Defense,On-Line Systems,Dave Clark,,,,,,,,,,,,,,,23.2,16,,,22.4,20,12.84,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mix & Match,Apple Computer,Children's Television Workshop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.51,31,23.01,19,,,,,16.63,26,19.93,23,,,,,,,,,,,,,,,,,,,,,,,,,,
Morloc's Tower,Automated Simulations,uncredited,44.06,11,19.99,24,,,19.91,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multiplan,Microsoft,uncredited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.21,29,39.45,13,36.98,10,40.02,9,60.22,7,53.31,10,55.81,6,59.74,6,51.93,9,43.45,12,55.12,8,35.21,16,24.7,26,38.62,18,49.96,11,42.06,15,21.93,21,15.9,23,14.74,29
Music Construction Set,Electronic Arts,Will Harvey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,23,,,25.63,23,,,31.52,25,,,25.91,17,24.99,10,16.32,26
Odyssey,Synergistic Software,Bob Clardy,61.56,5,30.24,9,23.81,14,30.6,16,23.5,19,17.26,15,12.54,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olympic Decathlon,Microsoft,Tim Smith,,,,,,,,,,,,,,,,,23.79,17,33.14,13,23.46,12,,,16.55,21,14.56,14,12.47,27,42.4,10,98.48,2,31.21,23,25.63,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oo Topos: An Extraterrestrial Adventure,Sentient Software,Michael Berlin,,,,,,,,,,,,,,,,,,,,,,,25.59,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oribitron,Sirius Software,Erik Knopp,,,,,,,,,,,,,,,,,,,,,17.78,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pegasus II,On-Line Systems,Olaf Lubeck,,,,,,,,,,,,,,,,,,,,,,,,,,,13.57,16,16.32,19,24.6,27,25.2,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Finance Manager,Apple Computer,"Jeffrey Gold, Special Delivey Software",,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.92,25,46.61,7,66.68,8,43.41,15,31.93,16,24.22,25,19.78,28,,,,,,,20.28,23,,,13.46,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFS: File (Personal Filing System),Software Publishing Corporation,John Page,,,,,,,,,,,,,,,,,17.33,28,,,,,29,24,18.98,19,24.98,5,22.22,13,64.74,3,97.31,3,86.81,3,67.45,4,98.45,2,79.83,5,52.68,7,69.84,7,98.73,3,99.38,3,99.15,3,97.62,3,95.72,4,72.48,6,74.68,6,92.67,3,49.36,8,60.47,6,77.23,5,92.09,3,91.9,3,85.65,4,58.94,9,88.02,3,74.83,7,43.52,7,74.64,5,70.51,4,88.8,4,54.22,7,40.33,4,51.61,5
PFS: Graph,Software Publishing Corporation,Bessie Chin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.82,28,23.93,19,19.25,24,,,,,,,,,13.3,29,,,,,17.44,29,16.28,19,,,14.83,25,,,21.79,24,,,,,,,,,,,20.73,24,,,,
PFS: Report,Software Publishing Corporation,John Page,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.54,12,38.88,12,26.78,13,29.33,19,30.71,15,35.29,15,24.07,17,26.93,11,,,,,,,27.84,11,21.34,22,21.16,18,31.89,14,43.49,9,41.35,11,32.71,11,31.4,14,44.44,11,25.89,23,27.23,22,41.94,16,46.41,13,44.87,12,36.28,11,18.71,19,41.07,9
PFS:Write,Software Publishing Corporation,"Brad Crain, Ed Mitchell, Sam Edwards",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.46,16,80.52,5,31.91,13,68.72,7,62.71,7,84.44,5,58.21,6,35.78,6,47.39,7
Phantoms 5,Sirius Software,Nasir,,,,,,,,,,,25.06,9,34.66,6,38.39,8,16.74,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pinball Construction Set,BudgeCo,Bill Budge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.32,18,22.85,18,28.01,16,19.15,22,20.93,20,,,,,,,,,,,,,23.76,27,,,31.18,26,,,,,14.17,27,,
Planet Miners,Avalon Hill,National Microcomputer Associates,,,,,,,,,15.67,28,12.29,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Planetoids (Asteroids),Adventure International,Marc Goodman,,,,,16.08,28,18.43,25,16.38,26,13,22,,,15.47,23,,,15.83,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pool 1.5,Innovative Design Software,"Dave Morock, Don Hoffman, Howard de St. Germain",,,,,,,,,,,,,,,,,,,41.21,8,61.48,2,81.89,4,30.18,11,10.03,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Print Shop,Broderbund Software,"David Balsam, Martin Kahn",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.53,20
ProDOS User's Kit,Apple Computer,uncredited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.95,22
